,R² Score,MAE,RMSE,MAPE
Random Forest,0.8644938924875618,2517.112512436949,4586.627442979636,0.3011244651306152
Gradient Boosting,0.8611538062000392,2485.6470979597293,4642.811159190609,0.2949727124512236
Neural Network (MLP),0.8040325129970114,3898.930918563976,5515.768647327821,0.4638250423577645
Linear Regression,0.7833463107364537,4186.508898366437,5799.587091438359,0.47093029527295827
